Note bit	Autonote Text	Category		
26	25 очков временной Устойчивости к Огню от колодца в юго-западной деревне в Курганах.	Stat	11	
27	2 очка постоянной Скорости от колодца в западной части города Приливная Вода в Таталии.	Stat	13	
28	20 очков временной устойчивости к Грому от колодца в восточной части города Приливная Вода в Таталии.	Stat	13	
29	20 очков временного Класса брони от колодца в северной деревне в Таталии.	Stat	13	
30	2 очка постоянной Выносливости от колодца в северо-восточной части города Спавард в АвЛи.	Stat	14	
31	20 очков временной устойчивости к Холоду от колодца в северо-западной части города Спавард в АвЛи.	Stat	14	
32	25 единиц здоровья восстановлено от колодца в деревне на острове в АвЛи.	Stat	14	
33	Красная жидкость придает Силу. 	Misc		
34	Оранжевая жидкость повышает Интеллект. 	Misc		
35	Синяя жидкость придает Силу духа. 	Misc		
36	Зеленая жидкость придает Выносливость. 	Misc		
37	Желтая жидкость придает Меткость. 	Misc		
38	Пурпурная жидкость придает Скорость. 	Misc		
39	Белая жидкость приносит Удачу. 	Misc		
40	Дымящаяся жидкость дает Защиту от огня.	Misc		
41	Ледяная жидкость дает Защиту от холода.	Misc		
42	Шоковая жидкость дает Защиту от грома.	Misc		
43	Ядовитая жидкость дает Защиту от яда.	Misc		
44	0	Stat		
45	Катализатор (Серый) = Грибы + Пустая бутылка. Различные серые реагенты могут использоваться для усиления эффекта снадобья.	potion		
46	Лечение ран (Красное) = Волчьи ягоды + Пустая бутылка. Различные красные реагенты могут использоваться для усиления эффекта снадобья.	potion		
47	Магическое снадобье (Синее) = Корень бузины + Пустая бутылка. Различные синие реагенты могут использоваться для усиления эффекта снадобья.	potion		
48	Лечение слабости (Желтое) = Маковый хруст + Пустая бутылка Различные желтые реагенты могут использоваться для усиления эффекта снадобья.	potion		
49	Лечение болезни (Оранжевое) = Желтое + Красное	potion		
50	Противоядие (Пурпурное) = Синее + Красное	potion		
51	Пробуждение (Зеленое) = Желтое + Синее	potion		
52	Ускорение (Красно-оранжевое) = Красное + Оранжевое	potion		
53	Мужество (Красно-пурпурное) = Красное + Пурпурное	potion		
54	Благословение (Красно-зеленое) = Красное + Зеленое	potion		
55	Сохранение (Сине-оранжевое) = Синее + Оранжевое	potion		
56	Щит (Сине-пурпурное) = Синее + Пурпурное	potion		
57	Перезарядка (Сине-зеленое) = Синее + Зеленое	potion		
58	Каменная кожа (Желто-оранжевое) = Желтое + Оранжевое	potion		
59	Дышать под водой (Желто-пурпурное) = Желтое + Пурпурное	potion		
60	Закалка (Желто-зеленое) = Желтое + Зеленое	potion		
61	Снятие Страха (Оранжево-пурпурное) = Оранжевое + Пурпурное	potion		
62	Снятие Порчи (Пурпурно-зеленое) = Пурпурное + Зеленое	potion		
63	Лечение Безумия (Оранжево-зеленое) = Оранжевое + Зеленое	potion		
64	Усиление Силы (Белое) = Пурпурное + Красно-пурпурное	potion		
65	Усиление Интеллекта (Белое) = Зеленое + Желто-зеленое	potion		
66	Усиление Силы духа (Белое) = Зеленое + Сине-зеленое	potion		
67	Усиление Выносливости (Белое) = Пурпурное + Сине-пурпурное	potion		
68	Усиление Скорости (Белое) = Оранжевое + Красно-Оранжевое	potion		
69	Усиление Меткости (Белое) = Оранжевое + Желто-оранжевое	potion		
70	Огненное Снадобье (Белое) = Зеленое + Красно-оранжевое	potion		
71	Огненное Снадобье (Белое) = Пурпурное + Желто-оранжевое	potion		
72	Снадобье заморозки (Белое) = Зеленое + Красно-пурпурное	potion		
73	Снадобье заморозки (Белое) = Оранжевое + Сине-пурпурное	potion		
74	Отравленное Снадобье (Белое) = Оранжевое + Сине-зеленое	potion		
75	Отравленное Снадобье (Белое) = Пурпурное + Желто-зеленое	potion		
76	Шокирующее Снадобье (Белое) = Пурпурное + Красно-оранжевое	potion		
77	Шокирующее Снадобье (Белое) = Оранжевое + Красно-пурпурное	potion		
78	Снадобье Быстроты (Белое) = Зеленое + Сине-пурпурное	potion		
79	Снадобье Быстроты (Белое) = Пурпурное + Сине-зеленое	potion		
80	Лечение паралича (Белое) = Зеленое + Желто-оранжевое	potion		
81	Лечение паралича (Белое) = Оранжевое + Желто-зеленое	potion		
82	Снадобье Божественного Восстановления (Белое) = Красно-оранжевое + Сине-зеленое	potion		
83	Снадобье Божественного Восстановления (Белое) = Сине-пурпурное + Желто-оранжевое	potion		
84	Снадобье Божественного Восстановления (Белое) = Красно-пурпурное + Желто-зеленое	potion		
85	Божественное лечение (Белое) = Красно-оранжевое + Желто-оранжевое	potion		
86	Божественная сила (Белое) = Сине-зеленое + Желто-зеленое	potion		
87	Усиление Удачи (Белое) = Красно-пурпурное + Сине-пурпурное	potion		
88	Защита от огня (Белое) = Красно-оранжевое + Желто-зеленое 	potion
89	Защита от грома (Белое) = Красно-оранжевое + Сине-пурпурное 	potion
90	Защита от холода (Белое) = Сине-пурпурное + Желто-зеленое 	potion
91	Защита от яда (Белое) = Сине-зеленое + Желто-оранжевое	potion
92	Защита от мысли (Белое) = Красно-пурпурное + Сине-зеленое	potion
93	Защита от магии (Белое) = Красно-пурпурное + Желто-оранжевое 	potion
94	Из камня в плоть (Черное) = Красно-пурпурное + Лечение паралича (Белое)	potion		
95	Снадобье Истребления (Черное) = Сине-пурпурное + Огненное Снадобье (Белое)	potion		
96	Абсолютная Удача (Черное) = Желто-оранжевое + Снадобье Быстроты (Белое)	potion		
97	Абсолютная Скорость (Черное) = Пурпурное + Усиление Скорости (Белое)	potion		
98	Абсолютный Интеллект (Черное) = Оранжевое + Усиление Интеллекта (Белое)	potion		
99	Абсолютная Выносливость (Черное) = Зеленое + Усиление Выносливости (Белое)	potion		
100	Абсолютная Сила духа (Черное) = Пурпурное + Усиление Силы духа (Белое)	potion		
101	Абсолютная Меткость (Черное) = Зеленое + Усиление Меткости (Белое)	potion		
102	Абсолютная Сила (Черное) = Оранжевое + Усиление Силы (Белое)	potion		
103	Омоложение (Черное) = Красно-зеленое + Снадобье Божественного Восстановления (Белое)	potion		
104	Омоложение (Черное) = Сине-оранжевое + Снадобье Божественного Восстановления (Белое) 	potion		
105	Омоложение (Черное) = Желто-пурпурное + Снадобье Божественного Восстановления (Белое) 	potion		
106	Иммунитет к огню (Черное) = Зеленое + Защита от огня (Белое)	potion		
107	Иммунитет к грому (Черное) = Оранжевое + Защита от грома (Белое)	potion		
108	Иммунитет к холоду (Черное) = Пурпурное + Защита от холода (Белое)	potion		
109	Иммунитет к яду (Черное) = Оранжевое + Защита от яда (Белое)	potion		
110	Иммунитет к мысли (Черное) = Зеленое + Защита от мысли (Белое)	potion		
111	Иммунитет к магии (Черное) = Пурпурное + Защита от магии (Белое)	potion		
112	Отражение боли (Черное) = Красно-оранжевое + Отравленное Снадобье (Белое)	potion		
113	Божественное мастерство (Черное) = Сине-зелёное + Усиление Удачи (Белое)	potion		
114	Надпись на обелиске #1: вс_внзпу	Obelisk	Area 2	
115	Надпись на обелиске #2: __оеарич	Obelisk	Area 3	
116	Надпись на обелиске #3: псттйаро	Obelisk	Area 4	
117	Надпись на обелиске #4: орыодчак	Obelisk	Area 5	
118	Надпись на обелиске #5: лещкент_	Obelisk	Area 6	
119	Надпись на обелиске #6: нде_шос_	Obelisk	Area 7	
120	Надпись на обелиске #7: оиш_ьйк_	Obelisk	Area 8	
121	Надпись на обелиске #8: ч_ь___и_	Obelisk	Area 9	
122	Надпись на обелиске #9: нк__нзй_	Obelisk	Area 10	
123	Надпись на обелиске #10: ыаб_ае__	Obelisk	Area 11	
124	Надпись на обелиске #11: йме__мс_	Obelisk	Area 12	
125	Надпись на обелиске #12: _нл_плу_	Obelisk	Area 13	
126	Надпись на обелиске #13: че-_рен_	Obelisk	Area 14	
127	Надпись на обелиске #14: айц_и_д_	Obelisk	Area 39	
128	"Инструктора по обучению на мастера владения посохом Элси Педертон можно найти в пустыне Бракада в горах в юго-западном регионе."	teacher		
129	"Учителя на магистра владения посохом Джиллиан Митрит можно найти на территории эльфов в АвЛи. Ее дом расположен на северо-востоке города."	teacher		
130	"Инструктора, обучающего владению мечом на уровне мастера, Тугора Слайсера, можно найти в его жилище в маленькой деревушке в западной части Дейи."	teacher		
131	"Великого магистра по владению мечом, Чедрика Таунсейвера, можно найти в маленькой деревушке в Велнине, сразу к югу от города Хармондейл."	teacher		
132	"Учителя по мастерскому владению кинжалом Азнога Слэшера можно найти в северной части Нигона."	teacher		
133	"Великий магистр по владению кинжалом Токен Фист живет в городе Приливная Вода в Таталии. Ходят слухи, что вор мастер, которого можно найти в глубинах эрафийской канализации под столицей Стедвиком, может также обучать своему мастерству на этом уровне."	teacher		
134	"Инструктор по мастерскому владению топором, Далин Кинэдж, живет в северо-восточной части Каменного города."	teacher		
135	"Великий магистр Карн Стоунклевер, обучающий искусству владения топором, живет где-то в заснеженных горах в северо-восточной части Таталии."	teacher		
136	"Мастер Кладерин Сильверпойнт живет в северо-восточной части города Пьерпонт, который расположен на территории эльфов в Тулареанском лесу. Он даст вам ценные знания по владению копьем."	teacher		
137	"Великий магистр по владению копьем Селен Фальконай живет в северо-восточной части Каменного города."	teacher		
138	"Инструктора по имени Ланши Равенсайт можно найти в северной части Нигона. Там вы сможете обучиться владению луком на уровне мастера."	teacher		
139	"Великого магистра по владению луком Кардрика Верного можно найти к юго-востоку от замка в городе Хармондейл."	teacher		
140	"Инструктор по имени Брат Ротхэм, обучающий мастерскому владению булавой, проживает на болотах в южной части Таталии."	teacher		
141	"Великий магистр по владению булавой Патвин Фелбурн обучает своему мастерству дома, в деревне гоблинов в восточной части Дейи."	teacher		
142	"Моего мастера, которого зовут Исрам Галлоусвелл, можно найти на заснеженных вершинах в северной части Таталии. Там вас научат дальнейшим навыкам искусства владения щитом."	teacher		
143	"Великий магистр владения щитом Федвин Смитсон живет на восточном острове архипелага Эвенморн."	teacher		
144	"Инструктора по мастерству ношения кожаных доспехов, Рабису Нелдон, можно найти в северной части Нигона."	teacher		
145	"Великий магистр по ношению кожаных доспехов Мийон Быстрый обучает своему искусству в восточной части города Пьерпонт, расположенного в области эльфов в Тулареанском лесу."	teacher		
146	"Инструктора по мастерству ношения кольчуги Медвари Драконтрекера можно найти на территории эльфов в АвЛи. Его дом расположен на северо-востоке города."	teacher		
147	"Великий магистр по ношению кольчуги Халиан Невемор живет в большом городе в северо-западной части Дейи."	teacher		
148	"Мой мастер, Декиан Форджрайт, живет в столице Эрафии Стедвике. Он может обучить вас навыкам ношения лат."	teacher		
149	"Великий магистр по ношению лат Брэнд Мастер живет в пустыне Бракада, в горах в центральной ее части."	teacher		
150	"Мастер магии Огня Ашен Темпер живет в Хармондейле около конюшен."	teacher		
151	"Великий магистр магии Огня Блейз живет в Стедвике, столице Эрафии."	teacher		
152	"Мастер магии Воздуха Рислин Гринсторм живет на эльфийской территории в АвЛи. Его дом расположен на северо-востоке города."	teacher		
153	"Великий магистр магии Воздуха Гейл живет в башне, расположенной в горах в северной части пустыни Бракада."	teacher		
154	"Мастер магии Воды Тобрен Рейншильд живет в юго-западной части Нигона."	teacher		
155	"Великий магистр магии Воды Торрент живет на горе к югу от Хармондейла."	teacher		
156	"Мастер магии Земли Лара Стоунрайт живет в эльфийской области Тулареанского леса. Ее дом в городе Пьерпонт."	teacher		
157	"Великий магистр магии Земли Аваланш живет в западной части Дейи."	teacher		
158	"Мастер, который обучал меня, - это Хитер Дримрайт. Она живет где-то в Стедвике, столице Эрафии. Там вы сможете получить дальнейшие знания в магии Духа."	teacher		
159	"Учителя на Великого магистра в магии Духа Бенджамина Спокойного можно найти на территории эльфов в Тулареанском лесу. Его дом расположен в городе Пьерпонт."	teacher		
160	"Мастер магии Мысли Майлс Фезервинд живет на территории эльфов в АвЛи. Его дом расположен на северо-востоке города."	teacher		
161	"Великий магистр Ксавьер Бремен, обучающий искусству магии Мысли, живет где-то в заснеженных горах в северо-восточной части Таталии. "	teacher		
162	"Мастер магии Тела, Брат Бомбах, живет в болотистой части Таталии. Его дом следует искать на юге."	teacher		
163	"Великий магистр магии Тела Темпус живет на территории эльфов в АвЛи. Его дом расположен на острове в центральной бухте."	teacher		
164	"Мастер Самюэль Бенсон, обучающий навыку идентификации предметов, живет в горах в центральной части пустыни Бракада."	teacher		
165	"Великий магистр Пейдж Блюсван, обучающий навыку идентификации предметов, живет на территории эльфов в Туларейском лесу. Его дом расположен прямо на северо-восток от города эльфов Пьерпонта."	teacher		
166	"Мастер торговли Бертхольд Каверхилл живет на восточном острове архипелага Эвенморн."	teacher		
167	"Великий магистр торговли Бригхэм Скромный живет в башне на горе в северной части пустыни Бракада."	teacher		
168	"Томас Мор, мастер навыка починки предметов, живет в болотистой дельте в южной части Таталии."	teacher		
169	"Великий магистр по починке предметов Гарет Умелец обучает своему мастерству у себя дома в Стедвике, столице Эрафии."	teacher		
170	"Мастер атлетики Ванда Фоустрайк живет в деревне гоблинов в восточной Дейе."	teacher		
171	"Великий магистр Эвандер Томас обучает атлетике у себя дома в восточной части Нигона."	teacher		
172	"Тесса Гринсвард, мастер медитации, живет в горах в юго-восточной части Бракады."	teacher		
173	"Великий магистр медитации Кейн живет на территории эльфов в АвЛи. Его дом расположен на острове в центральной бухте."	teacher		
174	"Мастер восприятия Гаррет Доутс живет в Тулареанском лесу. Его дом расположен в городе эльфов Пьерпонте. "	teacher		
175	"Великий магистр восприятия Петра Клеарай живет в городе в северо-западной Дейе."	teacher		
176	"Мастер нейтрализации ловушек Ленорд Скиннер живет на горе к югу от Хармондейла."	teacher		
177	"Великий магистр Силк Квиктанг обучает нейтрализации ловушек у себя, в южной части Нигона. "	teacher		
178	"Мастер ловкости Оберик Крейн живет на восточном острове архипелага Эвенморн."	teacher		
179	"Великий магистр ловкости Кеннет Вейн живет в столице Эрафии Стедвике."	teacher		
180	"Мастер рукопашного боя Ульбрехт Дебошир живет на восточном острове архипелага Эвенморн."	teacher		
181	"Великий магистр рукопашного боя Норрис живет в столице Эрафии Стедвике."	teacher		
182	"Мастер навыка идентификации монстров Джени Свифтфут живет в АвЛи. Ее дом расположен на северо-востоке города."	teacher		
183	"Великий магистр в навыке идентификации монстров Райвен Охотник живет в маленькой деревушке к югу от Хармондейла."	teacher		
184	"Паула Брайтспир, мастер оружейник, живет в АвЛи. Ее дом расположен на северо-востоке города."	teacher		
185	"Ласитер Убийца, великий магистр оружейник, живет в восточной части Эофола."	teacher		
186	"Мастер воровства Лин Шадоураннер живет в деревне гоблинов в восточной Дейе."	teacher		
187	"Эверил Найтвокер, великий магистр воровства, живет в болотистой дельте в южной Таталии."	teacher		
188	"Элзбет Винтерспун, мастер алхимии, живет в западной части Нигона."	teacher		
189	"Великий магистр алхимии Люсид Эппл живет на территории эльфов в АвЛи. Его дом расположен на острове в центральной бухте."	teacher		
190	"Мастер обучения Дороти Сеньяк живет в южной части Нигона."	teacher		
191	"Великий магистр обучения Вильям Смитсон живет на восточном острове архипелага Эвенморн."	teacher		
192	"Мастер магии Света Хелена Морнигстар живет в заоблачном городе Небеса!"	teacher		
193	"Великого магистра магии Света можно найти в обители чародеев - Светящемся замке."	teacher		
194	"Мастер магии Тьмы Сет Даркенмор живет в Бездне под Дейей!"	teacher		
195	"Великого магистра магии Тьмы можно найти в обители некромантов - Сумеречном замке. Временами Арчибальд посещает Лабораторию Кланкера."	teacher		
196	 			
197				
198				
199				
200				
201				
202				
203				
204				
205				
206				
207				
208				
209				
210				
211				
212				
213				
214				
215				
216				
217				
218				
219				
220				
221				
222				
223				
224				
225				
226				
227				
228				
229				
230				
231				
232				
233				
234				
235				
236				
237				
238				
239				
240				
241				
242				
243				
244				
245				
246				
247				
248				
249				
250				
251				
252				
253				
254				
255				
